timestamp, name, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/06/12 11:23:36.973, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:23:38.980, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:23:40.981, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:23:42.981, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:23:44.981, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:23:46.981, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:23:48.982, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:23:50.982, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:23:52.982, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:23:54.982, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:23:56.983, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:23:58.983, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:24:00.983, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:24:02.983, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:24:04.984, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:24:06.984, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:24:08.984, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:24:10.985, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:24:12.985, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:24:14.985, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:24:16.985, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:24:18.986, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:24:20.987, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:24:22.987, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:24:24.988, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:26.988, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:28.989, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:30.989, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:32.990, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:34.990, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:36.991, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:38.991, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:40.992, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:42.992, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:44.993, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:46.993, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:48.994, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:50.995, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:52.995, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:54.995, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:56.996, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:24:58.996, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:25:00.996, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:25:02.997, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:25:04.997, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:25:06.997, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:25:08.997, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:25:10.998, NVIDIA A100-SXM4-80GB, 44 %, 1 %, 30
2025/06/12 11:25:12.998, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:25:14.998, NVIDIA A100-SXM4-80GB, 4 %, 3 %, 30
2025/06/12 11:25:16.998, NVIDIA A100-SXM4-80GB, 32 %, 2 %, 30
2025/06/12 11:25:18.999, NVIDIA A100-SXM4-80GB, 45 %, 14 %, 35
2025/06/12 11:25:20.999, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:25:22.999, NVIDIA A100-SXM4-80GB, 44 %, 1 %, 30
2025/06/12 11:25:25.000, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:25:27.000, NVIDIA A100-SXM4-80GB, 44 %, 1 %, 30
2025/06/12 11:25:29.000, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:25:31.001, NVIDIA A100-SXM4-80GB, 44 %, 1 %, 30
2025/06/12 11:25:33.001, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 32
2025/06/12 11:25:35.001, NVIDIA A100-SXM4-80GB, 42 %, 1 %, 31
2025/06/12 11:25:37.002, NVIDIA A100-SXM4-80GB, 44 %, 27 %, 32
2025/06/12 11:25:39.002, NVIDIA A100-SXM4-80GB, 8 %, 0 %, 31
2025/06/12 11:25:41.002, NVIDIA A100-SXM4-80GB, 100 %, 40 %, 33
2025/06/12 11:25:43.003, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:25:45.003, NVIDIA A100-SXM4-80GB, 100 %, 36 %, 35
2025/06/12 11:25:47.003, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
