procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 15      0 404900736 643136 63555400    0    0  1318     4    0    0  6  2 90  3  0
 2 14      0 405140800 643136 63613516    0    0 595488     0 25543 28187  3  3 66 28  0
 3 12      0 406539968 643136 63563764    0    0 592556     0 34658 44291  6  3 67 23  0
 2 10      0 407635648 643144 63617164    0    0 553512    92 31247 38634  4  3 73 20  0
 6  6      0 406268096 643144 63625848    0    0 528680     0 31753 43058  2  3 76 19  0
11  0      0 404977504 643144 63675596    0    0 526836     0 37059 52787  2  3 77 19  0
 6  6      0 405047648 643144 63670136    0    0 500576     0 41777 56386  5  3 76 17  0
 4  4      0 405000704 643144 63664124    0    0 456060    52 31106 29917 10  4 75 11  0
 6  1      0 405001152 643144 63723244    0    0 362832     0 42551 57163  2  2 88  7  0
 5  0      0 404244032 643148 63750436    0    0 290952    44 23756 27565  4  2 91  3  0
 5  3      0 404927936 643148 63780684    0    0 330028     0 33338 38760  8  3 84  4  0
 9  2      0 407226560 643148 63765712    0    0 426984     0 31206 37792  5  3 84  8  0
 6  6      0 407644832 643148 63820948    0    0 490940     0 35211 40568  7  4 78 11  0
 3  6      0 406071840 643148 63774436    0    0 517828     0 27907 30637  7  4 77 13  0
 4 10      0 405348800 643148 63777192    0    0 546344    44 29623 34038  6  3 75 16  0
 8 10      0 405414656 643148 63819420    0    0 582640     0 33331 40227  5  3 70 22  0
 6 13      0 405235168 643148 63786608    0    0 613824     0 41973 55770  6  4 65 24  0
 4 16      0 405391680 643148 63800692    0    0 626592     0 30403 34960  6  4 65 25  0
 6 16      0 405891392 643148 63796072    0    0 644164     0 37555 46008  6  5 63 26  0
 3 16      0 405377856 643152 63835388    0    0 627292    72 40573 47657  7  4 63 25  0
10 11      0 408261440 643152 63894088    0    0 646232     0 32873 36194  8  4 62 25  0
 4 16      0 407434976 643152 63892728    0    0 659140     0 30210 30598  7  4 65 24  0
 6 14      0 406360544 643152 63897600    0    0 658596     0 35644 39800  6  5 64 25  0
 3 17      0 405761888 643152 63900484    0    0 665284    40 34054 37644  6  5 64 25  0
 1 18      0 405791456 643152 63932468    0    0 668872     0 31041 33329  6  4 64 26  0
 2 19      0 405647616 643160 63929016    0    0 679652    52 28077 31024  6  4 65 26  0
