timestamp, name, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/06/19 17:48:52.457, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:48:52.460, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:48:52.464, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:48:52.467, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:48:54.470, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:48:54.470, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:48:54.470, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:48:54.470, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:48:56.470, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:48:56.470, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:48:56.470, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:48:56.470, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:48:58.471, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:48:58.471, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:48:58.471, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:48:58.471, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:00.471, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:49:00.471, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:00.471, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:00.471, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:02.471, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:49:02.471, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:02.471, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:02.471, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:04.471, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:49:04.471, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:04.471, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:04.471, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:06.471, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:49:06.471, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:06.471, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:06.471, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:08.471, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:49:08.471, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:08.471, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:08.471, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:10.471, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:49:10.471, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:10.471, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:10.471, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:12.471, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:49:12.471, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:12.471, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:12.471, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:14.472, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:49:14.472, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:14.472, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:14.472, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:16.472, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:49:16.472, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:16.472, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:16.472, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:18.472, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:49:18.472, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:18.472, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:18.472, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:20.472, NVIDIA H200, 0 %, 0 %, 29
2025/06/19 17:49:20.472, NVIDIA H200, 0 %, 0 %, 26
