filename,num_atoms,elements
138593_0.npz,19,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
11568_0.npz,15,"['O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
35089_0.npz,17,"['N', 'N', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
138832_0.npz,18,"['N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
169986_0.npz,19,"['O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
156872_0.npz,11,"['O', 'O', 'N', 'N', 'N', 'C', 'C', 'C', 'H', 'H', 'H']"
98066_0.npz,18,"['O', 'O', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
202043_0.npz,16,"['N', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
102260_0.npz,19,"['O', 'O', 'O', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
136789_0.npz,8,"['N', 'C', 'C', 'C', 'C', 'H', 'H', 'H']"
80923_0.npz,15,"['N', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
5370_0.npz,17,"['O', 'O', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
69367_0.npz,16,"['O', 'O', 'N', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']"
