procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2085756032 119592 8761920    0    0     0     4    0    1  5  1 95  0  0
 0  0      0 2085728256 119592 8773304    0    0     0     0 5903 13943  0  0 100  0  0
 0  0      0 2085714304 119592 8783400    0    0     0     0 5196 34146  0  0 100  0  0
 0  0      0 2085698688 119592 8793260    0    0     0     0 4120 24510  0  0 100  0  0
 0  0      0 2085693056 119592 8799644    0    0     0     0 2977 16961  0  0 100  0  0
 0  0      0 2085680384 119592 8816660    0    0     0     0 7933 52236  0  0 100  0  0
 1  0      0 2085681280 119592 8821840    0    0     0     0 1970 10990  0  0 100  0  0
 0  0      0 2085676800 119600 8831528    0    0     0    56 6422 44818  0  0 100  0  0
 0  0      0 2085676672 119600 8833716    0    0     0     0 1743 9156  0  0 100  0  0
 0  0      0 2085596928 119600 8861232    0    0     0     0 5920 39559  0  0 100  0  0
 0  0      0 2085571200 119600 8874240    0    0     0     0 2969 18090  0  0 100  0  0
 0  0      0 2085562624 119600 8880536    0    0     0     0 1671 8601  0  0 100  0  0
 0  0      0 2085543424 119600 8888284    0    0     0    48 2375 12360  0  0 100  0  0
 0  0      0 2085512192 119600 8898840    0    0     0     0 2788 14890  0  0 100  0  0
 0  0      0 2085479936 119600 8905668    0    0     0     0 1871 10370  0  0 100  0  0
 0  0      0 2085528448 119600 8931648    0    0     0     0 8536 16850  4  0 96  0  0
 1  0      0 2085495680 119600 8945200    0    0     0     0 8175 32858  0  0 100  0  0
 1  0      0 2085458176 119600 8958084    0    0     0     0 10971 36587  0  0 99  0  0
 0  1      0 2085430144 119600 8967868    0    0     0     0 9613 31842  0  0 99  0  0
 0  0      0 2085400192 119600 8977988    0    0     0     0 9409 32708  0  0 100  0  0
 0  0      0 2085367936 119600 8987824    0    0     0     0 8502 29495  0  0 100  0  0
 1  0      0 2085357312 119600 8993268    0    0     0     0 4110 15155  0  0 100  0  0
 1  0      0 2085321344 119600 9007592    0    0     0     0 8027 31258  0  0 99  0  0
 0  0      0 2085301376 119600 9015852    0    0     0     0 5332 20398  0  0 100  0  0
 0  0      0 2085291008 119608 9024180    0    0     0    40 6131 35032  0  0 100  0  0
 0  0      0 2085283456 119608 9030772    0    0     0     0 3320 17949  0  0 100  0  0
 0  0      0 2085253504 119608 9037816    0    0     0     0 8241 30839  0  0 99  0  0
 0  0      0 2085215872 119608 9048292    0    0     0     0 10606 36729  0  0 99  0  0
 0  0      0 2085254656 119608 9087504    0    0     0     0 8249 16008  4  0 96  0  0
 1  0      0 2085252608 119608 9091108    0    0     0    20 3124 12235  0  0 100  0  0
 0  1      0 2085241856 119608 9098372    0    0     0     0 3420 13270  0  0 100  0  0
 1  0      0 2085239296 119608 9104736    0    0     0     0 4388 17392  0  0 100  0  0
 0  0      0 2085227136 119616 9113676    0    0     0    40 4789 18593  0  0 100  0  0
 0  0      0 2085221248 119616 9119440    0    0     0     0 3430 11970  0  0 100  0  0
 1  0      0 2085204480 119616 9127376    0    0     0     0 9975 17529  0  0 99  0  0
 1  0      0 2085180544 119616 9136372    0    0     0     0 5974 17797  0  1 99  0  0
 0  0      0 2085164800 119616 9140304    0    0     0     0 4697 11801  0  0 99  0  0
 0  0      0 2085167744 119616 9144640    0    0     0    32 3814 15483  0  0 100  0  0
 0  0      0 2085172352 119616 9149244    0    0     0     0 4923 28659  0  0 100  0  0
 1  0      0 2085160576 119616 9152652    0    0     0     0 3163 12999  0  0 100  0  0
 2  0      0 2085176960 119616 9156752    0    0     0     0 7658 13026  0  0 99  0  0
