Lmod has detected the following error: The following module(s) are unknown:
"python/3.9"

Please check the spelling or version number. Also try "module spider ..."
It is also possible your cache file is out-of-date; it may help to try:
  $ module --ignore_cache load "python/3.9"

Also make sure that all modulefiles written in TCL start with the string
#%Module



Job started at Thu Jun 19 16:28:56 EEST 2025
Running on host milan31.int.triton.aalto.fi
Using 32 CPUs
Found planar CID: 185042 | PCA=100.00% | RMSD=0.0090
Found planar CID: 95800 | PCA=100.00% | RMSD=0.0028
Found planar CID: 100767 | PCA=100.00% | RMSD=0.0009
Found planar CID: 83175 | PCA=100.00% | RMSD=0.0157
Found planar CID: 182234 | PCA=100.00% | RMSD=0.0008
Found planar CID: 97014 | PCA=100.00% | RMSD=0.0009
Found planar CID: 148353 | PCA=100.00% | RMSD=0.0009
Found planar CID: 65057 | PCA=100.00% | RMSD=0.0013
Found planar CID: 50354 | PCA=100.00% | RMSD=0.0021
Found planar CID: 209854 | PCA=100.00% | RMSD=0.0005
Found planar CID: 219827 | PCA=100.00% | RMSD=0.0017
Found planar CID: 222706 | PCA=100.00% | RMSD=0.0074
Found planar CID: 4757 | PCA=100.00% | RMSD=0.0004
Found planar CID: 70387 | PCA=100.00% | RMSD=0.0041
Found planar CID: 96306 | PCA=100.00% | RMSD=0.0094
Found planar CID: 9171 | PCA=100.00% | RMSD=0.0039
Found planar CID: 78147 | PCA=100.00% | RMSD=0.0011
Found planar CID: 195906 | PCA=100.00% | RMSD=0.0007
Found planar CID: 207893 | PCA=100.00% | RMSD=0.0073
Found planar CID: 94860 | PCA=100.00% | RMSD=0.0020
Found planar CID: 3022 | PCA=100.00% | RMSD=0.0027
Found planar CID: 228615 | PCA=100.00% | RMSD=0.0006
Found planar CID: 47237 | PCA=100.00% | RMSD=0.0020
Found planar CID: 137968 | PCA=100.00% | RMSD=0.0017
Found planar CID: 17743 | PCA=100.00% | RMSD=0.0013
Found planar CID: 183943 | PCA=100.00% | RMSD=0.0055
Found planar CID: 67461 | PCA=100.00% | RMSD=0.0009
